Country,Type,Total Population (Thousands),Total Population,Male Population (Thousands),Male Population,Female Population (Thousands),Female Population,"Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years)
Afghanistan,Southern Asia,40099,40099000,20255,20255000,19845,19845000,62,58.9,65.3
Albania,Southern Europe,2855,2855000,1426,1426000,1429,1429000,76.5,74.1,79.2
Algeria,Northern Africa,44178,44178000,22497,22497000,21681,21681000,76.4,74.9,78
American Samoa,Polynesia,45,45000,22,22000,23,23000,72.5,69.1,76.6
Andorra,Southern Europe,79,79000,40,40000,39,39000,80.4,77.2,84.3
Angola,Middle Africa,34504,34504000,17051,17051000,17452,17452000,61.6,59,64.3
Anguilla,Caribbean,16,16000,8,8000,8,8000,76.6,73.2,80.5
Antigua and Barbuda,Caribbean,93,93000,45,45000,49,49000,78.5,75.8,80.9
Argentina,South America,45277,45277000,22415,22415000,22862,22862000,75.4,72.2,78.6
Armenia,Western Asia,2791,2791000,1256,1256000,1534,1534000,72,66.6,77.4
Aruba,Caribbean,107,107000,50,50000,56,56000,74.6,71.8,77.3
Australia,Australia/New Zealand,25921,25921000,12868,12868000,13053,13053000,84.5,83.2,85.8
Austria,Western Europe,8922,8922000,4391,4391000,4531,4531000,81.6,79,84.1
Azerbaijan,Western Asia,10313,10313000,5089,5089000,5224,5224000,69.4,65.6,73.3
Bahamas,Caribbean,408,408000,195,195000,213,213000,71.6,68.1,75.1
Bahrain,Western Asia,1463,1463000,909,909000,555,555000,78.8,77.8,80
Bangladesh,Southern Asia,169356,169356000,83998,83998000,85358,85358000,72.4,70.6,74.3
Barbados,Caribbean,281,281000,135,135000,146,146000,77.6,75.6,79.4
Belarus,Eastern Europe,9578,9578000,4415,4415000,5163,5163000,72.4,67.3,77.7
Belgium,Western Europe,11611,11611000,5735,5735000,5877,5877000,81.9,79.4,84.3
Belize,Central America,400,400000,201,201000,199,199000,70.5,67.1,74.3
Benin,Western Africa,12997,12997000,6510,6510000,6487,6487000,59.8,58.2,61.4
Bermuda,North America,64,64000,31,31000,33,33000,79.3,75.8,82.7
Bhutan,Southern Asia,777,777000,412,412000,366,366000,71.8,70.1,73.8
Bolivia (Plurinational State of),South America,12079,12079000,6059,6059000,6021,6021000,63.6,60.9,66.8
"Bonaire, Sint Eustatius and Saba",Caribbean,27,27000,14,14000,13,13000,75.1,72.9,77.9
Bosnia and Herzegovina,Southern Europe,3271,3271000,1610,1610000,1661,1661000,75.3,73.1,77.5
Botswana,Southern Africa,2588,2588000,1278,1278000,1311,1311000,61.1,58.7,63.6
Brazil,South America,214326,214326000,105291,105291000,109035,109035000,72.8,69.6,76
British Virgin Islands,Caribbean,31,31000,15,15000,16,16000,74.5,71.7,77.5
Brunei Darussalam,South-Eastern Asia,445,445000,230,230000,215,215000,74.6,72.6,76.9
Bulgaria,Eastern Europe,6886,6886000,3339,3339000,3547,3547000,71.8,68.4,75.5
Burkina Faso,Western Africa,22101,22101000,11011,11011000,11090,11090000,59.3,57.5,61
Burundi,Eastern Africa,12551,12551000,6232,6232000,6319,6319000,61.7,59.7,63.6
Cabo Verde,Western Africa,588,588000,292,292000,296,296000,74.1,69.6,78.5
